# FaceTracer Dataset v1.0 - faceindex.txt - http://www.cs.columbia.edu/CAVE/databases/facetracer/
# Format: face_id	imgurl	pageurl
1	http://movies.bizhat.com/news/img/ar_rahman.jpg	http://movies.bizhat.com/news/shankar_rahman_reunited.php
2	http://movies.indiainfo.com/star_of_week/img/rahman2.jpg	http://movies.indiainfo.com/star_of_week/rahman.html
3	http://movies.indiainfo.com/newsbytes/images/rahman.jpg	http://movies.indiainfo.com/newsbytes/rahman-260405.html
4	http://www.behindwoods.com/tamil-movie-news/feb-06-05/images/22-02-2006-a%20r%20rahman.jpg	http://www.behindwoods.com/tamil-movie-news/feb-06-05/22-02-06-vikraman.html
5	http://www.cbso.co.uk/images/ARRahmanWeb.jpg	http://www.cbso.co.uk/?page=about/index.html&amp;id=42
6	http://www.daijiworld.com/images1/richie_0717_rahman.jpg	http://www.daijiworld.com/news/news_disp.asp?n_id=12884&amp;n_tit=Bangalore%3A+A+R+Rahman+to+Perform+Live+at+Concert+on+October+8
7	http://www.musichouseltd.co.uk/shop/images/ar%20rahman%20classic.jpg	http://www.musichouseltd.co.uk/shop/product_info.php?products_id=3136
8	http://www.musichouseltd.co.uk/shop/images/ar%20rahman%20lounge.jpg	http://www.musichouseltd.co.uk/shop/product_info.php?cPath=166_46&amp;products_id=3134
9	http://www.musichouseltd.co.uk/shop/images/ar%20rahman%20special.jpg	http://www.musichouseltd.co.uk/shop/product_info.php?products_id=3044
10	http://www.officiallondontheatre.co.uk/site/media/images/25389_ar_rahman.jpg	http://www.officiallondontheatre.co.uk/news/display?contentId=77435
11	http://www.theangelsband.com/cpg1410/albums/userpics/10001/normal_Geeta_Bisram_and_A_R_Rahman.JPG	http://www.theangelsband.com/cpg1410/displayimage.php?album=2&amp;pos=5
12	http://www.theangelsband.com/cpg1410/albums/userpics/10001/normal_Geeta_Bisram_and_A_R_Rahman.JPG	http://www.theangelsband.com/cpg1410/displayimage.php?album=2&amp;pos=5
13	http://br.geocities.com/patty_chapadona/aaliyah_jayz.jpg	http://geocities.yahoo.com.br/patty_chapadona
14	http://home.iae.nl/users/miker/images/aaliyah%202.jpg	http://blackmusic.blog.onet.pl/1,AR3_2004-05_2004-05-01_2004-05-31,index.html
15	http://news.bbc.co.uk/olmedia/1760000/images/_1764010_aaliyah150ap.jpg	http://news.bbc.co.uk/cbbcnews/hi/music/newsid_1764000/1764010.stm
16	http://www.aaliyah.com/forum/attach.aspx/14914/(Aaliyah)Tommy%20Jeans.jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=288601
17	http://www.aaliyah.com/forum/attach.aspx/9650/Aaliyah%20-%20Special%20Edition%20-%20Rare%20Tracks%20And%20Visuals%20Inlay%202.jpg	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=142605
18	http://www.aaliyah.com/forum/attach.aspx/2295/Aaliyah%2005%20(1).JPG	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=35559
19	http://www.aaliyah.com/forum/attach.aspx/2295/Aaliyah%2005%20(1).JPG	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=35559
20	http://www.aaliyah.com/forum/attach.aspx/2293/Aaliyah%203.JPG	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=35559
21	http://www.aaliyah.com/forum/attach.aspx/13272/Aaliyah%204.jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=237350
22	http://www.aaliyah.com/forum/attach.aspx/5823/Aaliyah%20In%20Black%20And%20White%20Photo.bmp	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=66791
23	http://www.aaliyah.com/forum/attach.aspx/7814/Aaliyah%20Rare%20(1).jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=98184
24	http://www.aaliyah.com/forum/attach.aspx/7818/Aaliyah%20With%20N-Sync%20(6).JPG	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=98184
25	http://www.aaliyah.com/forum/attach.aspx/9650/Aaliyah%20-%20Special%20Edition%20-%20Rare%20Tracks%20And%20Visuals%20Inlay%202.jpg	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=142605
26	http://www.aaliyah.com/forum/attach.aspx/2876/Aaliyah%20-America%20Awards.jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=38989
27	http://www.aaliyah.com/forum/attach.aspx/2294/Aaliyah%2004.JPG	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=35559
28	http://www.aaliyah.com/forum/attach.aspx/2294/Aaliyah%2004.JPG	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=35559
29	http://www.aaliyah.com/forum/attach.aspx/5823/Aaliyah%20In%20Black%20And%20White%20Photo.bmp	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=66791
30	http://www.aaliyah.com/forum/attach.aspx/10651/Aaliyah%20Tommy%20Hilfiger%20(11).jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=111055
31	http://www.aaliyah.com/forum/attach.aspx/7817/Aaliyah%20With%20N-Sync%20(5).JPG	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=98184
32	http://www.aaliyah.com/forum/attach.aspx/7818/Aaliyah%20With%20N-Sync%20(6).JPG	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=98184
33	http://www.aaliyah.com/forum/attach.aspx/6542/Aaliyah_JS88107887.jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=75702
34	http://www.aaliyah.com/forum/attach.aspx/3981/Aaliyah_JS88123001.jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=46317
35	http://www.aaliyah.com/forum/attach.aspx/2296/Aaliyah_WeNeedAResolution.JPG	http://www.aaliyah.com/forum/default.aspx?f=9&amp;m=35559
36	http://www.aaliyah.com/forum/attach.aspx/13257/BREATHLESS%20aaliyah.bmp	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=237350
37	http://www.aaliyah.com/forum/attach.aspx/25390/aaliyah%20collage.JPG	http://www.aaliyah.com/forum/default.aspx?m=543126&amp;f=5&amp;p=1
38	http://www.aaliyah.com/forum/attach.aspx/25390/aaliyah%20collage.JPG	http://www.aaliyah.com/forum/default.aspx?m=543126&amp;f=5&amp;p=1
39	http://www.aaliyah.com/forum/attach.aspx/8203/aaliyah+and+her+mom.jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=106243
40	http://www.aaliyah.com/forum/attach.aspx/2725/aaliyah-rmd.jpg	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=37955
41	http://www.aaliyah.com/forum/attach.aspx/12382/aaliyah_70.JPG	http://www.aaliyah.com/forum/default.aspx?f=5&amp;m=210886
42	http://www.aaliyah.com/forum/attach.aspx/16903/aaliyah.bmp	http://www.aaliyah.com/forum/default.aspx?f=8&amp;m=10518
43	http://www.rapcommunity.de/images/aaliyah.jpg	http://www.rapcommunity.de/news/show.php?id=59
44	http://yusuke-ash.blog.ocn.ne.jp/the_fifth_element/images/aaliyah.jpg	http://yusuke-ash.blog.ocn.ne.jp/the_fifth_element/2005/11/aaliyah__i_care_00cc.html
45	http://208.109.122.198/Aamir_Khan/Aamir_Khan.jpg	http://www.celebrity-cards.com/A/Aamir_Khan/link.html
46	http://a740.g.akamai.net/f/740/606/1d/image.pathfinder.com/time/asia/covers/501031027/images/373_khan.jpg	http://www.bollywood-forum.de/forum/view/369.html
47	http://atlasidx.com/media/imgPersonnel/1/khan_aamir.jpg	http://www.prucalifornia.com/agentDetail.asp?AgentID=1777
48	http://bollygossips.com/wp-content/uploads/2007/03/aamir-khan-0410_news.jpg	http://bollygossips.com/
49	http://bollyvista.com/data/image/picture7151_1.jpg	http://www.freewebs.com/rade2rising/latestnews.htm
50	http://bollywood.celebden.com/wp-content/uploads/2006/08/Aamir-Khan.jpg	http://bollywood.celebden.com/?p=181
51	http://bollywood.celebden.com/wp-content/uploads/2006/08/Jiah-Khan.jpg	http://bollywood.celebden.com/?m=200608&amp;paged=2
52	http://bollywood.deepthi.com/actors/images/Aamir-Khan-1.jpg	http://bollywoodzone.wetpaint.com/page/Aamir+Khan
53	http://dcealumni.com/gallery/films/mangalpandey-the-rising/the_rising1.jpg	http://movies.dcealumni.com/archives/aamir-khan-rising-issues
